date,variable,value
2010-01-04,kospi,1696.1400146484375
2010-01-05,kospi,1690.6199951171875
2010-01-06,kospi,1705.3199462890625
2010-01-07,kospi,1683.449951171875
2010-01-08,kospi,1695.260009765625
2010-01-11,kospi,1694.1199951171875
2010-01-12,kospi,1698.6400146484375
2010-01-13,kospi,1671.4100341796875
2010-01-14,kospi,1685.77001953125
2010-01-15,kospi,1701.800048828125
2010-01-18,kospi,1711.780029296875
2010-01-19,kospi,1710.219970703125
2010-01-20,kospi,1714.3800048828125
2010-01-21,kospi,1722.010009765625
2010-01-22,kospi,1684.3499755859375
2010-01-25,kospi,1670.199951171875
2010-01-26,kospi,1637.3399658203125
2010-01-27,kospi,1625.47998046875
2010-01-28,kospi,1642.4300537109375
2010-01-29,kospi,1602.4300537109375
2010-02-01,kospi,1606.43994140625
2010-02-02,kospi,1595.81005859375
2010-02-03,kospi,1615.02001953125
2010-02-04,kospi,1616.4200439453125
2010-02-05,kospi,1567.1199951171875
2010-02-08,kospi,1552.7900390625
2010-02-09,kospi,1570.489990234375
2010-02-10,kospi,1570.1199951171875
2010-02-11,kospi,1597.81005859375
2010-02-12,kospi,1593.6600341796875
2010-02-16,kospi,1601.050048828125
2010-02-17,kospi,1627.4300537109375
2010-02-18,kospi,1621.18994140625
2010-02-19,kospi,1593.9000244140625
2010-02-22,kospi,1627.0999755859375
2010-02-23,kospi,1628.9000244140625
2010-02-24,kospi,1612.8299560546875
2010-02-25,kospi,1587.510009765625
2010-02-26,kospi,1594.5799560546875
2010-03-02,kospi,1615.1199951171875
2010-03-03,kospi,1622.43994140625
2010-03-04,kospi,1618.199951171875
2010-03-05,kospi,1634.5699462890625
2010-03-08,kospi,1660.0400390625
2010-03-09,kospi,1660.8299560546875
2010-03-10,kospi,1662.239990234375
2010-03-11,kospi,1656.6199951171875
2010-03-12,kospi,1662.739990234375
2010-03-15,kospi,1649.5
2010-03-16,kospi,1648.010009765625
2010-03-17,kospi,1682.8599853515625
2010-03-18,kospi,1675.1700439453125
2010-03-19,kospi,1686.1099853515625
2010-03-22,kospi,1672.6700439453125
2010-03-23,kospi,1681.8199462890625
2010-03-24,kospi,1681.010009765625
2010-03-25,kospi,1688.3900146484375
2010-03-26,kospi,1697.719970703125
2010-03-29,kospi,1691.989990234375
2010-03-30,kospi,1700.18994140625
2010-03-31,kospi,1692.8499755859375
2010-04-01,kospi,1719.1700439453125
2010-04-02,kospi,1723.489990234375
2010-04-05,kospi,1724.989990234375
2010-04-06,kospi,1726.0899658203125
2010-04-07,kospi,1726.5999755859375
2010-04-08,kospi,1733.780029296875
2010-04-09,kospi,1724.469970703125
2010-04-12,kospi,1710.300048828125
2010-04-13,kospi,1710.5899658203125
2010-04-14,kospi,1735.3299560546875
2010-04-15,kospi,1743.9100341796875
2010-04-16,kospi,1734.489990234375
2010-04-19,kospi,1705.300048828125
2010-04-20,kospi,1718.030029296875
2010-04-21,kospi,1747.5799560546875
2010-04-22,kospi,1739.52001953125
2010-04-23,kospi,1737.030029296875
2010-04-26,kospi,1752.199951171875
2010-04-27,kospi,1749.550048828125
2010-04-28,kospi,1733.9100341796875
2010-04-29,kospi,1728.4200439453125
2010-04-30,kospi,1741.56005859375
2010-05-03,kospi,1721.2099609375
2010-05-04,kospi,1718.75
2010-05-06,kospi,1684.7099609375
2010-05-07,kospi,1647.5
2010-05-10,kospi,1677.6300048828125
2010-05-11,kospi,1670.239990234375
2010-05-12,kospi,1663.030029296875
2010-05-13,kospi,1694.5799560546875
2010-05-14,kospi,1695.6300048828125
2010-05-17,kospi,1651.510009765625
2010-05-18,kospi,1643.239990234375
2010-05-19,kospi,1630.0799560546875
2010-05-20,kospi,1600.1800537109375
2010-05-24,kospi,1604.9300537109375
2010-05-25,kospi,1560.8299560546875
2010-05-26,kospi,1582.1199951171875
2010-05-27,kospi,1607.5
2010-05-28,kospi,1622.780029296875
2010-05-31,kospi,1641.25
2010-06-01,kospi,1630.4000244140625
2010-06-03,kospi,1661.8399658203125
2010-06-04,kospi,1664.1300048828125
2010-06-07,kospi,1637.969970703125
2010-06-08,kospi,1651.47998046875
2010-06-09,kospi,1647.219970703125
2010-06-10,kospi,1651.699951171875
2010-06-11,kospi,1675.3399658203125
2010-06-14,kospi,1690.5999755859375
2010-06-15,kospi,1690.030029296875
2010-06-16,kospi,1705.3299560546875
2010-06-17,kospi,1707.9200439453125
2010-06-18,kospi,1711.949951171875
2010-06-21,kospi,1739.6800537109375
2010-06-22,kospi,1731.47998046875
2010-06-23,kospi,1725.8199462890625
2010-06-24,kospi,1739.8699951171875
2010-06-25,kospi,1729.8399658203125
2010-06-28,kospi,1732.030029296875
2010-06-29,kospi,1707.760009765625
2010-06-30,kospi,1698.2900390625
2010-07-01,kospi,1686.239990234375
2010-07-02,kospi,1671.8199462890625
2010-07-05,kospi,1675.3699951171875
2010-07-06,kospi,1684.93994140625
2010-07-07,kospi,1675.6500244140625
2010-07-08,kospi,1698.6400146484375
2010-07-09,kospi,1723.010009765625
2010-07-12,kospi,1734.050048828125
2010-07-13,kospi,1735.0799560546875
2010-07-14,kospi,1758.010009765625
2010-07-15,kospi,1751.2900390625
2010-07-16,kospi,1738.449951171875
2010-07-19,kospi,1731.949951171875
2010-07-20,kospi,1736.77001953125
2010-07-21,kospi,1748.780029296875
2010-07-22,kospi,1735.530029296875
2010-07-23,kospi,1758.06005859375
2010-07-26,kospi,1769.0699462890625
2010-07-27,kospi,1768.31005859375
2010-07-28,kospi,1773.469970703125
2010-07-29,kospi,1770.8800048828125
2010-07-30,kospi,1759.3299560546875
2010-08-02,kospi,1782.27001953125
2010-08-03,kospi,1790.5999755859375
2010-08-04,kospi,1789.260009765625
2010-08-05,kospi,1783.8599853515625
2010-08-06,kospi,1783.8299560546875
2010-08-09,kospi,1790.1700439453125
2010-08-10,kospi,1781.1300048828125
2010-08-11,kospi,1758.18994140625
2010-08-12,kospi,1721.75
2010-08-13,kospi,1746.239990234375
2010-08-16,kospi,1743.31005859375
2010-08-17,kospi,1755.030029296875
2010-08-18,kospi,1761.989990234375
2010-08-19,kospi,1779.6400146484375
2010-08-20,kospi,1775.5400390625
2010-08-23,kospi,1767.7099609375
2010-08-24,kospi,1760.530029296875
2010-08-25,kospi,1734.7900390625
2010-08-26,kospi,1729.760009765625
2010-08-27,kospi,1729.56005859375
2010-08-30,kospi,1760.1300048828125
2010-08-31,kospi,1742.75
2010-09-01,kospi,1764.68994140625
2010-09-02,kospi,1775.72998046875
2010-09-03,kospi,1780.02001953125
2010-09-06,kospi,1792.4200439453125
2010-09-07,kospi,1787.739990234375
2010-09-08,kospi,1779.219970703125
2010-09-09,kospi,1784.3599853515625
2010-09-10,kospi,1802.5799560546875
2010-09-13,kospi,1818.8599853515625
2010-09-14,kospi,1815.25
2010-09-15,kospi,1823.8800048828125
2010-09-16,kospi,1811.8499755859375
2010-09-17,kospi,1827.3499755859375
2010-09-20,kospi,1832.6300048828125
2010-09-24,kospi,1846.5999755859375
2010-09-27,kospi,1860.8299560546875
2010-09-28,kospi,1855.969970703125
2010-09-29,kospi,1866.449951171875
2010-09-30,kospi,1872.81005859375
2010-10-01,kospi,1876.72998046875
2010-10-04,kospi,1879.2900390625
2010-10-05,kospi,1878.93994140625
2010-10-06,kospi,1903.949951171875
2010-10-07,kospi,1900.8499755859375
2010-10-08,kospi,1897.0699462890625
2010-10-11,kospi,1889.9100341796875
2010-10-12,kospi,1868.0400390625
2010-10-13,kospi,1876.1500244140625
2010-10-14,kospi,1899.760009765625
2010-10-15,kospi,1902.2900390625
2010-10-18,kospi,1875.4200439453125
2010-10-19,kospi,1857.3199462890625
2010-10-20,kospi,1870.43994140625
2010-10-21,kospi,1874.68994140625
2010-10-22,kospi,1897.31005859375
2010-10-25,kospi,1915.7099609375
2010-10-26,kospi,1919.4100341796875
2010-10-27,kospi,1909.5400390625
2010-10-28,kospi,1907.8699951171875
2010-10-29,kospi,1882.949951171875
2010-11-01,kospi,1914.739990234375
2010-11-02,kospi,1918.0400390625
2010-11-03,kospi,1935.969970703125
2010-11-04,kospi,1942.5
2010-11-05,kospi,1938.9599609375
2010-11-08,kospi,1942.4100341796875
2010-11-09,kospi,1947.4599609375
2010-11-10,kospi,1967.8499755859375
2010-11-11,kospi,1914.72998046875
2010-11-12,kospi,1913.1199951171875
2010-11-15,kospi,1913.81005859375
2010-11-16,kospi,1899.1300048828125
2010-11-17,kospi,1897.1099853515625
2010-11-18,kospi,1927.8599853515625
2010-11-19,kospi,1940.9599609375
2010-11-22,kospi,1944.3399658203125
2010-11-23,kospi,1928.93994140625
2010-11-24,kospi,1925.97998046875
2010-11-25,kospi,1927.6800537109375
2010-11-26,kospi,1901.800048828125
2010-11-29,kospi,1895.5400390625
2010-11-30,kospi,1904.6300048828125
2010-12-01,kospi,1929.3199462890625
2010-12-02,kospi,1950.260009765625
2010-12-03,kospi,1957.260009765625
2010-12-06,kospi,1953.6400146484375
2010-12-07,kospi,1962.52001953125
2010-12-08,kospi,1955.719970703125
2010-12-09,kospi,1988.9599609375
2010-12-10,kospi,1986.1400146484375
2010-12-13,kospi,1996.5899658203125
2010-12-14,kospi,2009.050048828125
2010-12-15,kospi,2017.47998046875
2010-12-16,kospi,2009.239990234375
2010-12-17,kospi,2026.300048828125
2010-12-20,kospi,2020.280029296875
2010-12-21,kospi,2037.0899658203125
2010-12-22,kospi,2038.1099853515625
2010-12-23,kospi,2037.530029296875
2010-12-24,kospi,2029.5999755859375
2010-12-27,kospi,2022.18994140625
2010-12-28,kospi,2033.3199462890625
2010-12-29,kospi,2043.489990234375
2010-12-30,kospi,2051.0
2011-01-03,kospi,2070.080078125
2011-01-04,kospi,2085.139892578125
2011-01-05,kospi,2082.550048828125
2011-01-06,kospi,2077.610107421875
2011-01-07,kospi,2086.199951171875
2011-01-10,kospi,2080.81005859375
2011-01-11,kospi,2088.320068359375
2011-01-12,kospi,2094.949951171875
2011-01-13,kospi,2089.47998046875
2011-01-14,kospi,2108.169921875
2011-01-17,kospi,2099.85009765625
2011-01-18,kospi,2096.47998046875
2011-01-19,kospi,2115.68994140625
2011-01-20,kospi,2106.659912109375
2011-01-21,kospi,2069.919921875
2011-01-24,kospi,2082.159912109375
2011-01-25,kospi,2086.669921875
2011-01-26,kospi,2110.4599609375
2011-01-27,kospi,2115.010009765625
2011-01-28,kospi,2107.8701171875
2011-01-31,kospi,2069.72998046875
2011-02-01,kospi,2072.030029296875
2011-02-07,kospi,2081.739990234375
2011-02-08,kospi,2069.699951171875
2011-02-09,kospi,2045.5799560546875
2011-02-10,kospi,2008.5
2011-02-11,kospi,1977.18994140625
2011-02-14,kospi,2014.5899658203125
2011-02-15,kospi,2010.52001953125
2011-02-16,kospi,1989.1099853515625
2011-02-17,kospi,1977.219970703125
2011-02-18,kospi,2013.1400146484375
