lr,hidden,best_val_pinball,n_epochs,elapsed_s,test_pinball_q50,test_rmse_q50,test_coverage,test_dir_acc
0.0001,32,1.7653,93,28.3,1.6948,4.5347,0.8289,0.4947
0.0005,32,1.7617,29,8.5,1.6947,4.5344,0.8333,0.4947
0.001,32,1.4608,71,18.9,1.5647,4.2154,0.9226,0.6335
0.005,32,1.5426,30,7.5,1.5536,4.1816,0.8512,0.641
0.01,32,1.54,31,7.8,1.5342,4.1898,0.8795,0.635
0.0001,48,1.7659,64,22.6,1.6947,4.5345,0.8289,0.4947
0.0005,48,1.4902,71,25.2,1.6144,4.3404,0.9211,0.6063
0.001,48,1.4936,63,22.5,1.5636,4.2183,0.8676,0.6335
0.005,48,1.462,37,13.5,1.5455,4.1683,0.9137,0.6395
0.01,48,1.7079,16,6.6,1.6962,4.5447,0.8661,0.5053
0.0001,64,1.7652,47,22.4,1.6947,4.5343,0.8289,0.4947
0.0005,64,1.7628,18,8.5,1.6947,4.5352,0.8304,0.5053
0.001,64,1.5008,64,27.0,1.5657,4.2228,0.878,0.6094
0.005,64,1.7426,16,6.7,1.6947,4.5354,0.8438,0.5053
0.01,64,1.6929,16,7.0,1.6968,4.5482,0.878,0.5053
0.0001,96,1.7625,29,17.3,1.6945,4.5339,0.8289,0.4932
0.0005,96,1.4795,55,35.4,1.5485,4.1799,0.8854,0.6395
0.001,96,1.5165,37,22.1,1.5477,4.172,0.9077,0.6229
0.005,96,1.7124,16,9.3,1.6955,4.5412,0.8661,0.5053
0.01,96,1.687,16,9.9,1.6975,4.553,0.881,0.5053
0.0001,128,1.7621,29,23.6,1.6935,4.5311,0.8318,0.4932
0.0005,128,1.4864,48,40.5,1.5494,4.1791,0.8973,0.6486
0.001,128,1.496,37,29.2,1.5508,4.1838,0.8839,0.6335
0.005,128,1.693,16,12.5,1.6964,4.5464,0.878,0.5053
0.01,128,1.6989,19,14.8,1.6996,4.5601,0.8735,0.5053
