strategy,cost_bp,total_return_%,sharpe_252,max_drawdown_%,win_rate_%,avg_pos_abs,n_pos_changes,carry_total_%,convex_total_%,cost_total_%,days_active
S0_BuyHold,0.0,12.422,0.757,-7.21,50.642,1.0,0,9.051,0.643,0.0,701
S0_BuyHold,0.5,12.422,0.757,-7.21,50.642,1.0,0,9.051,0.643,0.0,701
S0_BuyHold,1.0,12.422,0.757,-7.21,50.642,1.0,0,9.051,0.643,0.0,701
S0_BuyHold,2.0,12.422,0.757,-7.21,50.642,1.0,0,9.051,0.643,0.0,701
S0_BuyHold,3.0,12.422,0.757,-7.21,50.642,1.0,0,9.051,0.643,0.0,701
S1_SignQ50,0.0,60.583,3.794,-3.649,60.485,1.0,303,-2.16,0.015,0.0,701
S1_SignQ50,0.5,36.343,2.28,-5.151,55.492,1.0,303,-2.16,0.015,24.24,701
S1_SignQ50,1.0,12.103,0.751,-11.249,52.211,1.0,303,-2.16,0.015,48.48,701
S1_SignQ50,2.0,-36.377,-2.142,-44.817,44.223,1.0,303,-2.16,0.015,96.96,701
S1_SignQ50,3.0,-84.857,-4.589,-90.736,38.516,1.0,303,-2.16,0.015,145.44,701
S2_ConfFilter,0.0,25.746,3.739,-0.506,81.176,0.121,151,-0.092,0.039,0.0,85
S2_ConfFilter,0.5,19.586,2.949,-0.706,42.767,0.121,151,-0.092,0.039,6.16,159
S2_ConfFilter,1.0,13.426,2.073,-1.433,40.881,0.121,151,-0.092,0.039,12.32,159
S2_ConfFilter,2.0,1.106,0.173,-3.753,38.994,0.121,151,-0.092,0.039,24.64,159
S2_ConfFilter,3.0,-11.214,-1.682,-12.132,33.333,0.121,151,-0.092,0.039,36.96,159
S3_VolTarget,0.0,46.267,3.54,-3.01,60.485,0.871,414,-1.836,0.01,0.0,701
S3_VolTarget,0.5,24.991,1.913,-5.047,55.635,0.871,414,-1.836,0.01,21.277,701
S3_VolTarget,1.0,3.714,0.28,-11.121,52.068,0.871,414,-1.836,0.01,42.553,701
S3_VolTarget,2.0,-38.839,-2.751,-43.536,44.223,0.871,414,-1.836,0.01,85.107,701
S3_VolTarget,3.0,-81.393,-5.223,-84.55,37.946,0.871,414,-1.836,0.01,127.66,701
S4_DualQuantile,0.0,0.0,,0.0,,0.0,0,0.0,0.0,0.0,0
S4_DualQuantile,0.5,0.0,,0.0,,0.0,0,0.0,0.0,0.0,0
S4_DualQuantile,1.0,0.0,,0.0,,0.0,0,0.0,0.0,0.0,0
S4_DualQuantile,2.0,0.0,,0.0,,0.0,0,0.0,0.0,0.0,0
S4_DualQuantile,3.0,0.0,,0.0,,0.0,0,0.0,0.0,0.0,0
