vars,dir_acc
delta_dxy_t1+delta_vix_t1+kospi+kr_base_rate+kr_corp_aa3y+kr_mfg_bsi_outlook+kr_treasury_3y+krw_usd+us_cpi+us_fed_funds+us_treasury_10y+us_treasury_2y+vix,0.49721320245337713
crisis_dummy+kospi+kr_base_rate+kr_corp_aa3y+kr_cpi_core+kr_mfg_bsi_outlook+kr_ppi+kr_treasury_1y+krw_usd+sp500+spread_10y_t1+us_fed_funds+wti_oil,0.4747349522993689
delta_us10y_t1+dxy+kr_cd_91d+kr_cpi_core+kr_mfg_bsi_outlook+kr_ppi+kr_treasury_1y+kr_treasury_5y+spread_10y_t1+us_credit_spread+us_treasury_2y+vix+wti_oil,0.5779639245398038
kr_base_rate+kr_cd_91d+kr_corp_aa3y+kr_cpi+kr_industrial_prod+kr_mfg_bsi_outlook+kr_ppi+kr_treasury_1y+krw_usd+spread_10y_t1+us_breakeven_10y+us_fed_funds+us_treasury_10y,0.5009016352946989
crisis_dummy+delta_us10y_t1+dxy+kr_cd_91d+kr_industrial_prod+kr_treasury_3y+krw_usd+sp500+us_breakeven_10y+us_cpi+us_credit_spread+vix+wti_oil,0.5845111602924868
dxy+kospi+kr_base_rate+kr_industrial_prod+kr_ppi+kr_treasury_1y+kr_treasury_3y+kr_treasury_5y+krw_usd+spread_10y_t1+us_cpi+us_treasury_10y+vix,0.49770677469651753
delta_vix_t1+kr_base_rate+kr_corp_aa3y+kr_cpi+kr_mfg_bsi_outlook+kr_treasury_3y+kr_treasury_5y+krw_usd+spread_10y_t1+us_cpi+us_credit_spread+us_treasury_10y+us_treasury_2y,0.5125260386355713
crisis_dummy+delta_us10y_t1+delta_vix_t1+kr_base_rate+kr_cd_91d+kr_corp_aa3y+kr_industrial_prod+kr_treasury_1y+kr_treasury_3y+kr_treasury_5y+us_cpi+us_credit_spread+us_treasury_10y,0.5909766131672667
crisis_dummy+delta_dxy_t1+delta_vix_t1+kr_cpi+kr_cpi_core+kr_mfg_bsi_outlook+kr_ppi+krw_usd+us_breakeven_10y+us_cpi+us_treasury_10y+us_treasury_2y+wti_oil,0.4969410272878481
crisis_dummy+delta_vix_t1+dxy+kr_cd_91d+kr_corp_aa3y+kr_ppi+kr_treasury_1y+kr_treasury_5y+krw_usd+spread_10y_t1+us_credit_spread+us_fed_funds+vix,0.5065598660435537
crisis_dummy+delta_dxy_t1+delta_us10y_t1+delta_vix_t1+kr_base_rate+kr_cd_91d+kr_corp_aa3y+kr_cpi_core+kr_mfg_bsi_outlook+krw_usd+sp500+us_treasury_2y+wti_oil,0.5792160678513182
crisis_dummy+delta_us10y_t1+delta_vix_t1+kospi+kr_corp_aa3y+kr_cpi+kr_industrial_prod+kr_treasury_1y+kr_treasury_3y+sp500+us_breakeven_10y+us_cpi+us_treasury_10y,0.592626157067227
delta_us10y_t1+delta_vix_t1+dxy+kr_base_rate+kr_cd_91d+kr_cpi+kr_cpi_core+kr_industrial_prod+kr_treasury_1y+kr_treasury_5y+sp500+us_credit_spread+us_fed_funds,0.5944308232688756
crisis_dummy+delta_dxy_t1+delta_us10y_t1+dxy+kr_base_rate+kr_cd_91d+kr_corp_aa3y+kr_industrial_prod+kr_mfg_bsi_outlook+kr_treasury_3y+us_treasury_10y+us_treasury_2y+vix,0.5827185661368085
delta_dxy_t1+delta_us10y_t1+dxy+kr_base_rate+kr_cd_91d+kr_cpi+kr_cpi_core+kr_mfg_bsi_outlook+us_fed_funds+us_treasury_10y+us_treasury_2y+vix+wti_oil,0.5909491196059237
