score,fold1,fold2,fold3,vars
0.6762352633813395,0.508,1.0,0.52,kr_base_rate+us_treasury_10y+us_fed_funds+vix+spread_10y_t1
0.6762352633813395,0.508,1.0,0.52,us_treasury_10y+us_fed_funds+vix+spread_10y_t1+crisis_dummy
0.6287625470458732,0.602,0.614,0.671,kr_treasury_3y+kr_base_rate+vix+delta_us10y_t1+crisis_dummy
0.6285661678869295,0.597,0.612,0.676,kr_treasury_3y+kr_base_rate+sp500+delta_us10y_t1+delta_dxy_t1
0.6274540779844426,0.623,0.603,0.656,kr_base_rate+us_fed_funds+sp500+delta_us10y_t1+delta_vix_t1
0.6262702498926104,0.589,0.603,0.686,kr_treasury_3y+us_fed_funds+spread_10y_t1+delta_us10y_t1+delta_dxy_t1
0.6244659325940244,0.636,0.603,0.634,kr_treasury_3y+kr_base_rate+us_treasury_10y+delta_us10y_t1+delta_vix_t1
0.6240164591533787,0.602,0.601,0.669,kr_treasury_3y+vix+spread_10y_t1+delta_us10y_t1+crisis_dummy
0.6237728348000929,0.597,0.608,0.666,kr_base_rate+us_fed_funds+sp500+spread_10y_t1+delta_us10y_t1
0.6234166505991227,0.602,0.623,0.646,us_fed_funds+sp500+dxy+spread_10y_t1+delta_us10y_t1
0.6227969273424616,0.614,0.586,0.668,us_fed_funds+vix+sp500+delta_us10y_t1+delta_vix_t1
0.6224111322072335,0.581,0.616,0.671,us_fed_funds+sp500+spread_10y_t1+delta_us10y_t1+crisis_dummy
0.6211258505440579,0.572,0.599,0.692,kr_treasury_3y+vix+sp500+delta_us10y_t1+crisis_dummy
0.6208409693335168,0.606,0.603,0.653,kr_treasury_3y+vix+spread_10y_t1+delta_us10y_t1+delta_dxy_t1
0.6202483502653564,0.606,0.58,0.675,kr_treasury_3y+kr_base_rate+delta_us10y_t1+delta_dxy_t1+crisis_dummy
0.6199630338558993,0.61,0.582,0.668,kr_treasury_3y+kr_base_rate+us_fed_funds+vix+delta_us10y_t1
