label,RMSE_bp,MAE_bp,Dir_Acc,Coverage_90,Sharpness_bp,Interval_Score,IS_up,IS_down,Asymmetry_mean,Asymmetry_std,Width_std,fold,model,stage
XGBoost raw (fold1),3.743,2.681,0.5932,0.8776,10.27,16.159,16.709,15.679,0.94,0.179,2.325,fold1,XGBoost v2,raw
XGBoost CQR (fold1),3.743,2.681,0.5932,0.9325,12.83,16.33,16.325,16.377,0.951,0.145,2.325,fold1,XGBoost v2,CQR
LSTM s=42 (fold1),3.696,2.667,0.5072,0.9183,11.74,16.385,17.429,15.394,0.925,0.077,1.828,fold1,LSTM v2 (s=42),raw
LSTM s=123 (fold1),3.664,2.599,0.5604,0.899,10.56,15.99,16.133,15.909,1.015,0.084,2.062,fold1,LSTM v2 (s=123),raw
LSTM s=2024 (fold1),3.74,2.67,0.5024,0.8606,9.38,17.734,18.785,16.773,0.926,0.001,0.01,fold1,LSTM v2 (s=2024),raw
LSTM avg (fold1),3.671,2.624,0.5169,0.9038,10.56,16.212,16.797,15.69,0.952,0.05,1.246,fold1,LSTM v2 (avg),raw
XGBoost raw (fold2),5.503,3.976,0.5949,0.7881,11.61,27.368,30.079,24.48,1.065,0.209,1.44,fold2,XGBoost v2,raw
XGBoost CQR (fold2),5.503,3.976,0.5949,0.7013,9.27,31.015,33.808,28.115,1.093,0.272,1.44,fold2,XGBoost v2,CQR
LSTM s=42 (fold2),5.55,4.055,0.5864,0.6411,8.12,36.458,36.442,36.884,0.964,0.066,0.867,fold2,LSTM v2 (s=42),raw
LSTM s=123 (fold2),5.502,4.008,0.6068,0.6682,9.24,30.965,31.448,30.722,1.033,0.073,2.113,fold2,LSTM v2 (s=123),raw
LSTM s=2024 (fold2),5.521,4.029,0.5773,0.6704,9.24,34.312,33.121,36.01,1.124,0.093,1.448,fold2,LSTM v2 (s=2024),raw
LSTM avg (fold2),5.521,4.027,0.5841,0.6637,8.87,33.671,33.364,34.369,1.04,0.057,1.259,fold2,LSTM v2 (avg),raw
XGBoost raw (fold3),4.439,3.311,0.6416,0.8531,11.55,19.618,20.207,19.242,1.035,0.179,1.176,fold3,XGBoost v2,raw
XGBoost CQR (fold3),4.439,3.311,0.6416,0.9843,24.81,26.037,26.129,25.984,1.013,0.08,1.176,fold3,XGBoost v2,CQR
LSTM s=42 (fold3),4.255,3.171,0.6546,0.8185,10.31,18.497,19.849,17.346,0.942,0.054,1.292,fold3,LSTM v2 (s=42),raw
LSTM s=123 (fold3),4.232,3.154,0.6591,0.7217,8.05,21.459,22.811,20.452,0.942,0.082,1.286,fold3,LSTM v2 (s=123),raw
LSTM s=2024 (fold3),4.203,3.123,0.6697,0.756,8.88,19.726,21.723,17.989,0.874,0.065,1.486,fold3,LSTM v2 (s=2024),raw
LSTM avg (fold3),4.227,3.147,0.6546,0.7649,9.08,19.61,21.114,18.368,0.919,0.056,1.285,fold3,LSTM v2 (avg),raw
