fold,q,max_depth,lr,val_pinball,best_iter
fold1,0.05,4,0.03,0.2816557495600896,252
fold1,0.05,4,0.05,0.28076486301696957,125
fold1,0.05,6,0.03,0.283351629570513,136
fold1,0.05,6,0.05,0.2815675260972566,208
fold1,0.5,4,0.03,0.9928420975595823,25
fold1,0.5,4,0.05,0.993083564102749,22
fold1,0.5,6,0.03,1.0024749838945024,15
fold1,0.5,6,0.05,0.9995759874363555,16
fold1,0.95,4,0.03,0.27743340621420604,52
fold1,0.95,4,0.05,0.2857236962222232,27
fold1,0.95,6,0.03,0.2513233259775455,357
fold1,0.95,6,0.05,0.26446553239217796,94
fold2,0.05,4,0.03,0.5417451515919022,17
fold2,0.05,4,0.05,0.5501818442545018,24
fold2,0.05,6,0.03,0.5511153938389627,23
fold2,0.05,6,0.05,0.5589920094033249,2
fold2,0.5,4,0.03,1.6788388895919595,33
fold2,0.5,4,0.05,1.6731440743556676,39
fold2,0.5,6,0.03,1.692687605027141,2
fold2,0.5,6,0.05,1.6871486571750471,50
fold2,0.95,4,0.03,0.5917024301881555,15
fold2,0.95,4,0.05,0.5820170352438921,6
fold2,0.95,6,0.03,0.5999484364725965,600
fold2,0.95,6,0.05,0.5956928946390877,13
fold3,0.05,4,0.03,0.6239616260403075,34
fold3,0.05,4,0.05,0.5376216647081205,134
fold3,0.05,6,0.03,0.6421936410770079,5
fold3,0.05,6,0.05,0.6424583189529285,3
fold3,0.5,4,0.03,2.163984097787914,121
fold3,0.5,4,0.05,2.162134225057078,39
fold3,0.5,6,0.03,2.1862696433423503,61
fold3,0.5,6,0.05,2.1919428045943112,55
fold3,0.95,4,0.03,0.9263786900252625,156
fold3,0.95,4,0.05,0.921639130073681,31
fold3,0.95,6,0.03,0.9976076687427988,151
fold3,0.95,6,0.05,1.0033420757034364,51
